date,revenue,marketing_spend,website_traffic,ad_clicks,conversion_rate,discount_rate,returns_pct,support_tickets,customer_satisfaction,churn_rate,employee_count,avg_temperature_c
2024-04-07,46489.55,3087.85,6964.0,3017.0,0.0362,0.1315,0.0609,50.0,4.21,0.0667,63.0,32.9
2025-03-16,29462.63,3493.64,6869.0,2819.0,0.0234,0.1797,0.0782,69.0,3.99,0.0564,62.0,31.2
2025-01-20,37923.56,3009.35,6980.0,2687.0,0.0294,0.1057,0.0607,61.0,3.95,0.0656,60.0,24.5
2024-05-04,35166.68,3680.3,8347.0,3492.0,0.0232,0.1382,0.0613,53.0,4.36,0.0567,61.0,30.1
2024-05-24,25134.18,3019.72,5422.0,2240.0,0.0258,0.0483,0.0473,60.0,3.63,0.0646,61.0,28.3
2024-05-16,17227.09,3451.65,6639.0,2827.0,0.0146,0.0885,0.0591,84.0,3.7,0.0665,63.0,28.4
2025-03-13,50098.7,3177.95,8662.0,3692.0,0.0321,0.0399,0.0325,58.0,4.27,0.0515,62.0,28.7
2025-05-14,28845.53,2974.39,7307.0,2999.0,0.0206,0.0393,0.0228,51.0,4.09,0.066,62.0,29.5
2025-02-11,33091.02,3716.34,8219.0,3533.0,0.022,0.125,0.0639,71.0,3.82,0.071,61.0,26.3
2025-04-13,30350.61,3966.58,9828.0,4232.0,0.0176,0.0753,0.039,45.0,4.34,0.0665,64.0,33.1
2025-06-27,32362.16,3187.98,7537.0,3196.0,0.0243,0.0649,0.0296,54.0,3.88,0.0679,63.0,21.2
2024-09-21,33681.39,2876.47,6590.0,2903.0,0.0276,0.0217,0.0272,49.0,4.16,0.0651,61.0,14.0
2025-07-18,41224.67,3431.13,7882.0,3150.0,0.028,0.0958,0.0519,53.0,4.04,0.0622,62.0,19.3
2025-07-26,34008.42,3159.23,7678.0,3304.0,0.0243,0.2145,0.0943,65.0,3.8,0.0625,64.0,17.5
2025-02-13,40260.63,2983.25,6873.0,2915.0,0.0323,0.0966,0.0596,50.0,4.14,0.0535,61.0,28.0
2024-08-26,39052.85,2397.39,6555.0,2544.0,0.034,0.0908,0.0791,68.0,4.23,0.0663,59.0,14.2
2025-08-14,28738.39,3053.3,6547.0,2603.0,0.0248,0.0703,0.0305,58.0,4.05,0.0656,63.0,17.9
2025-02-06,32094.56,3684.35,7583.0,3354.0,0.023,0.114,0.0514,43.0,4.1,0.0565,58.0,26.3
2025-07-25,20004.72,3049.65,5322.0,2176.0,0.021,0.119,0.0533,71.0,3.9,0.0715,64.0,19.8
2025-07-27,44175.53,,7047.0,2912.0,0.0341,0.0583,0.0222,40.0,4.15,0.0682,63.0,18.1
2025-07-16,26305.33,3146.46,6848.0,2892.0,0.0201,0.1194,0.0591,58.0,,0.0635,62.0,20.0
2025-08-23,,3107.89,5592.0,2175.0,0.0328,0.0906,0.0576,64.0,4.05,0.0634,63.0,15.2
2025-06-16,29793.35,3163.69,7831.0,3317.0,0.0194,0.0504,0.0412,58.0,3.95,0.0691,65.0,23.8
2025-04-06,26785.59,3291.56,8231.0,3580.0,0.0175,0.1195,0.0518,53.0,3.96,0.0756,62.0,34.1
2025-01-21,32324.34,3448.04,8613.0,3622.0,0.0203,0.177,0.072,57.0,4.03,0.0626,63.0,26.5
2025-11-01,30539.77,3197.58,8202.0,3456.0,0.0201,0.0749,0.0504,53.0,3.97,0.072,65.0,12.2
2024-12-12,34232.55,2801.46,7598.0,3248.0,0.0265,0.1354,0.0642,44.0,4.19,0.0607,58.0,16.4
2025-09-12,32452.58,2715.36,6185.0,2647.0,0.0283,0.0555,0.0368,34.0,4.45,0.055,65.0,13.3
2024-08-25,29821.79,2715.94,5795.0,2719.0,0.0285,0.0855,0.0399,63.0,3.84,0.0629,62.0,13.0
2025-01-06,34103.92,3653.04,8567.0,3605.0,0.0217,0.1127,0.0619,54.0,4.24,0.0492,65.0,24.6
2024-06-18,36146.81,3146.23,5935.0,2622.0,0.0328,0.0895,0.0431,69.0,3.97,0.0594,63.0,24.2
2024-01-17,35928.07,3244.17,8778.0,3938.0,0.0237,0.1003,0.0558,61.0,4.11,0.0685,58.0,20.1
2024-04-01,37752.13,3401.92,8774.0,3598.0,0.024,0.0735,0.0382,48.0,4.02,0.0794,60.0,32.4
2025-08-10,36099.18,2692.34,6647.0,2852.0,0.0292,0.1079,0.0467,51.0,3.92,0.0677,62.0,11.1
2025-01-11,30772.77,3152.14,6089.0,2584.0,0.0273,0.0775,0.0488,70.0,3.9,0.0783,62.0,23.8
2024-11-20,29140.96,3506.21,6709.0,2900.0,0.0234,0.0766,0.0541,49.0,4.35,0.0592,61.0,15.0
2024-11-02,38923.26,2664.66,7085.0,2830.0,0.0309,0.0734,0.0329,55.0,3.97,0.0602,62.0,16.1
2025-03-08,41174.89,3491.74,7581.0,3048.0,0.0292,0.1027,0.0558,62.0,4.06,0.0598,61.0,28.2
2024-08-24,43763.74,2025.05,4940.0,2019.0,0.0462,0.0657,0.0149,35.0,4.56,0.0632,68.0,16.9
2024-09-29,33408.33,2674.97,5983.0,2487.0,0.0306,0.0614,0.0458,48.0,4.14,0.0673,61.0,13.9
2025-12-07,38700.52,2800.06,6188.0,2937.0,0.0339,0.1295,0.0556,59.0,4.01,0.0779,65.0,19.5
2025-11-13,22106.29,3414.57,6392.0,3009.0,0.0196,0.1535,0.064,56.0,4.2,0.0562,65.0,17.1
2024-03-27,24011.28,3268.44,7062.0,2752.0,0.0202,0.0829,0.0489,55.0,4.03,0.0621,62.0,31.8
2024-02-11,,3465.81,8826.0,3632.0,0.019,0.097,0.0616,58.0,3.97,0.059,62.0,28.9
2024-08-02,32258.33,2765.35,6709.0,2791.0,0.0269,0.0399,0.0416,53.0,4.06,0.062,64.0,17.6
2024-10-23,25505.73,2850.46,4887.0,2258.0,0.0299,0.1458,0.0748,50.0,3.94,0.0624,62.0,13.3
2024-03-21,34628.17,3584.32,7790.0,3241.0,0.0238,0.0742,0.0498,56.0,4.0,0.0699,60.0,30.7
2024-04-22,22217.23,3211.78,8684.0,3688.0,0.0148,0.1106,0.0514,66.0,3.67,0.0617,60.0,31.2
2024-07-18,34267.26,2911.2,6801.0,2872.0,0.0287,0.0716,0.0527,62.0,4.09,0.0552,58.0,19.7
2025-02-15,29918.13,2630.93,4380.0,1772.0,0.0373,0.1372,0.0369,56.0,4.15,0.0594,65.0,30.4
2024-09-23,43269.86,,7090.0,2865.0,0.0343,0.0889,0.0505,55.0,4.01,0.0669,61.0,13.0
2025-06-07,28519.14,3308.22,7696.0,3202.0,0.0204,0.0739,0.0477,62.0,3.99,0.0619,67.0,27.1
