,revenue,marketing_spend,website_traffic,ad_clicks,conversion_rate,discount_rate,returns_pct,support_tickets,customer_satisfaction,churn_rate,employee_count,avg_temperature_c
revenue,1.0,-0.2611957870341135,0.197977806506425,0.192237037960658,0.6901844982547992,-0.06576755638740682,-0.028823320514883604,-0.01403581257116109,-0.02489310431398816,0.04058940833307266,0.05103502046001348,-0.18920274770299422
marketing_spend,-0.2611957870341135,1.0,0.6831296543886825,0.6471739359939738,-0.720605262978994,0.007969950140533604,-0.005778832883167762,-0.036442037042058346,0.012951831730014882,0.04216997526513779,-0.0692703477408457,0.553919977005677
website_traffic,0.197977806506425,0.6831296543886825,1.0,0.9690524535691258,-0.5049646554289121,-0.0023010619546533916,0.010409704760392184,0.004103050906291147,-0.015183247446562286,0.0650251555458816,-0.05131067768843344,0.34504583152264967
ad_clicks,0.192237037960658,0.6471739359939738,0.9690524535691258,1.0,-0.4877198050261551,-0.0009289949890809292,0.008570523318584242,-0.004380949525702786,0.0035041700044382332,0.062061064111811635,-0.028050339359183774,0.3170200109682249
conversion_rate,0.6901844982547992,-0.720605262978994,-0.5049646554289121,-0.4877198050261551,1.0,-0.06213941417115061,-0.04147788966737998,-0.021617510955722223,0.0026111616378713953,-0.018896487908521904,0.06723629827875015,-0.4037272618494807
discount_rate,-0.06576755638740682,0.007969950140533604,-0.0023010619546533916,-0.0009289949890809292,-0.06213941417115061,1.0,0.7617703704217912,0.38233118381879944,-0.16026674316967515,0.07584861339654954,-0.041343557465540075,0.016096971275333126
returns_pct,-0.028823320514883604,-0.005778832883167762,0.010409704760392184,0.008570523318584242,-0.04147788966737998,0.7617703704217912,1.0,0.503661314040311,-0.2402799099236047,0.09785754370196348,-0.06778760589489173,0.015001880124979943
support_tickets,-0.01403581257116109,-0.036442037042058346,0.004103050906291147,-0.004380949525702786,-0.021617510955722223,0.38233118381879944,0.503661314040311,1.0,-0.4959938589185669,0.240910050940839,-0.09578693139761438,-0.024705014437517086
customer_satisfaction,-0.02489310431398816,0.012951831730014882,-0.015183247446562286,0.0035041700044382332,0.0026111616378713953,-0.16026674316967515,-0.2402799099236047,-0.4959938589185669,1.0,-0.4332503082185528,0.0350595871532536,0.029383790691806102
churn_rate,0.04058940833307266,0.04216997526513779,0.0650251555458816,0.062061064111811635,-0.018896487908521904,0.07584861339654954,0.09785754370196348,0.240910050940839,-0.4332503082185528,1.0,-0.019530005288733877,0.0044194827635095696
employee_count,0.05103502046001348,-0.0692703477408457,-0.05131067768843344,-0.028050339359183774,0.06723629827875015,-0.041343557465540075,-0.06778760589489173,-0.09578693139761438,0.0350595871532536,-0.019530005288733877,1.0,-0.25641344972261915
avg_temperature_c,-0.18920274770299422,0.553919977005677,0.34504583152264967,0.3170200109682249,-0.4037272618494807,0.016096971275333126,0.015001880124979943,-0.024705014437517086,0.029383790691806102,0.0044194827635095696,-0.25641344972261915,1.0
